session_key,session_type,session_name,date_start,date_end,meeting_key,circuit_key,circuit_short_name,country_key,country_code,country_name,location,gmt_offset,year,is_cancelled
9462,Practice,Day 1,2024-02-21T07:00:00+00:00,2024-02-21T16:00:00+00:00,1228,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9463,Practice,Day 2,2024-02-22T07:00:00+00:00,2024-02-22T16:00:00+00:00,1228,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9464,Practice,Day 3,2024-02-23T07:00:00+00:00,2024-02-23T16:00:00+00:00,1228,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9465,Practice,Practice 1,2024-02-29T11:30:00+00:00,2024-02-29T12:30:00+00:00,1229,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9466,Practice,Practice 2,2024-02-29T15:00:00+00:00,2024-02-29T16:00:00+00:00,1229,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9467,Practice,Practice 3,2024-03-01T12:30:00+00:00,2024-03-01T13:30:00+00:00,1229,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9468,Qualifying,Qualifying,2024-03-01T16:00:00+00:00,2024-03-01T17:00:00+00:00,1229,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9472,Race,Race,2024-03-02T15:00:00+00:00,2024-03-02T17:00:00+00:00,1229,63,Sakhir,36,BRN,Bahrain,Sakhir,03:00:00,2024,False
9473,Practice,Practice 1,2024-03-07T13:30:00+00:00,2024-03-07T14:30:00+00:00,1230,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2024,False
9474,Practice,Practice 2,2024-03-07T17:10:00+00:00,2024-03-07T18:10:00+00:00,1230,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2024,False
9475,Practice,Practice 3,2024-03-08T13:30:00+00:00,2024-03-08T14:30:00+00:00,1230,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2024,False
9476,Qualifying,Qualifying,2024-03-08T17:00:00+00:00,2024-03-08T18:00:00+00:00,1230,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2024,False
9480,Race,Race,2024-03-09T17:00:00+00:00,2024-03-09T19:00:00+00:00,1230,149,Jeddah,153,KSA,Saudi Arabia,Jeddah,03:00:00,2024,False
9481,Practice,Practice 1,2024-03-22T01:30:00+00:00,2024-03-22T02:30:00+00:00,1231,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2024,False
9482,Practice,Practice 2,2024-03-22T05:00:00+00:00,2024-03-22T06:00:00+00:00,1231,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2024,False
9483,Practice,Practice 3,2024-03-23T01:30:00+00:00,2024-03-23T02:30:00+00:00,1231,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2024,False
9484,Qualifying,Qualifying,2024-03-23T05:00:00+00:00,2024-03-23T06:00:00+00:00,1231,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2024,False
9488,Race,Race,2024-03-24T04:00:00+00:00,2024-03-24T06:00:00+00:00,1231,10,Melbourne,5,AUS,Australia,Melbourne,11:00:00,2024,False
9489,Practice,Practice 1,2024-04-05T02:30:00+00:00,2024-04-05T03:30:00+00:00,1232,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2024,False
9490,Practice,Practice 2,2024-04-05T06:00:00+00:00,2024-04-05T07:00:00+00:00,1232,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2024,False
9491,Practice,Practice 3,2024-04-06T02:30:00+00:00,2024-04-06T03:30:00+00:00,1232,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2024,False
9492,Qualifying,Qualifying,2024-04-06T06:00:00+00:00,2024-04-06T07:00:00+00:00,1232,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2024,False
9496,Race,Race,2024-04-07T05:00:00+00:00,2024-04-07T07:00:00+00:00,1232,46,Suzuka,4,JPN,Japan,Suzuka,09:00:00,2024,False
9663,Practice,Practice 1,2024-04-19T03:30:00+00:00,2024-04-19T04:30:00+00:00,1233,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2024,False
9668,Qualifying,Sprint Qualifying,2024-04-19T07:30:00+00:00,2024-04-19T08:14:00+00:00,1233,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2024,False
9672,Race,Sprint,2024-04-20T03:00:00+00:00,2024-04-20T04:00:00+00:00,1233,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2024,False
9664,Qualifying,Qualifying,2024-04-20T07:00:00+00:00,2024-04-20T08:00:00+00:00,1233,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2024,False
9673,Race,Race,2024-04-21T07:00:00+00:00,2024-04-21T09:00:00+00:00,1233,49,Shanghai,53,CHN,China,Shanghai,08:00:00,2024,False
9497,Practice,Practice 1,2024-05-03T16:30:00+00:00,2024-05-03T17:30:00+00:00,1234,151,Miami,19,USA,United States,Miami,-04:00:00,2024,False
9502,Qualifying,Sprint Qualifying,2024-05-03T20:30:00+00:00,2024-05-03T21:14:00+00:00,1234,151,Miami,19,USA,United States,Miami,-04:00:00,2024,False
9506,Race,Sprint,2024-05-04T16:00:00+00:00,2024-05-04T17:00:00+00:00,1234,151,Miami,19,USA,United States,Miami,-04:00:00,2024,False
9498,Qualifying,Qualifying,2024-05-04T20:00:00+00:00,2024-05-04T21:00:00+00:00,1234,151,Miami,19,USA,United States,Miami,-04:00:00,2024,False
9507,Race,Race,2024-05-05T20:00:00+00:00,2024-05-05T22:00:00+00:00,1234,151,Miami,19,USA,United States,Miami,-04:00:00,2024,False
9508,Practice,Practice 1,2024-05-17T11:30:00+00:00,2024-05-17T12:30:00+00:00,1235,6,Imola,13,ITA,Italy,Imola,02:00:00,2024,False
